# channel	fit_mu	fit_sigma
11100	14.0677	2.7438
11101	14.2837	2.6114
11102	13.9219	2.3913
11103	14.4201	2.8368
11104	14.5750	2.8400
11105	14.7295	2.3935
11106	14.2084	2.9106
11107	14.6575	2.4375
11110	14.1769	2.5088
11112	14.4776	2.3064
11113	15.8245	3.0016
11114	15.0552	2.2070
11115	14.3648	2.8000
11116	15.9009	2.4086
11117	14.4602	3.1061
11120	14.3955	2.2415
11121	14.4922	2.6828
11122	14.2117	2.1780
11123	15.0803	2.5077
11124	15.4961	2.7260
11125	14.4927	2.2797
11126	15.5476	2.5945
11127	14.7818	2.4365
11130	13.8306	2.0944
11132	13.6459	1.8411
11133	13.9141	2.3887
11134	13.4004	2.0264
11135	13.9196	2.2965
11136	14.0302	2.1794
11137	13.5732	2.2007
11140	14.5929	1.8566
11141	14.0706	1.9680
11142	14.3043	2.1115
11143	14.3457	1.8603
11144	14.2305	2.0363
11145	14.5367	1.9630
11146	14.4366	2.1136
11147	15.0325	2.0507
11200	13.8297	2.1933
11201	14.0303	1.9890
11202	13.9929	2.0744
11203	14.2436	1.8867
11204	14.0791	1.9855
11205	14.3225	1.9997
11206	14.1626	2.1633
11207	14.7340	2.1219
11210	14.1887	2.1376
11212	14.5129	2.2724
11213	14.3043	2.0241
11214	13.7069	2.2301
11215	14.0777	2.0176
11216	14.0245	2.2842
11217	14.4491	2.3192
11220	14.1011	2.0849
11222	12.0287	2.8624
11223	14.7710	2.0996
11224	14.9725	2.6131
11225	14.8654	1.7495
11226	14.9088	2.1059
11230	14.4539	2.0852
11231	14.4332	1.9081
11232	14.5810	2.1779
11233	11.7567	3.3388
11234	15.1564	2.0965
11235	14.7061	2.1299
11236	15.0036	2.0377
11237	14.6468	2.3076
11240	15.0599	2.0678
11242	13.3099	2.5298
11245	15.0454	1.9869
11247	15.2256	1.9915
11300	12.6160	3.7994
11302	12.6929	3.7136
11303	55.4271	0.7804
11305	12.9052	5.0123
11307	12.7464	3.7756
